"","slope.pseudo.index","p.pseudo.index","Transcripts","qvalue","feature","rank"
"RPL10","  0.093124954","4.822239e-10","  2489",2.33383e-08,"UP",0.0226883561643836
"ACTG1","  0.092603520","1.399385e-06","  7839",1.317595e-05,"UP",0.0231164383561644
"C10orf10","  0.090694844","6.647362e-09","  2703",1.767659e-07,"UP",0.0235445205479452
"CIRBP","  0.090073706","4.414390e-08","  7776",7.986012e-07,"UP",0.023972602739726
"VGF","  0.089553211","1.053935e-09","  2091",3.984965e-08,"UP",0.0244006849315068
"ATP6V1G1","  0.089472161","2.057111e-10","  8370",1.30998e-08,"UP",0.0248287671232877
"QPCT","  0.086046219","4.882382e-07","  4988",5.599377e-06,"UP",0.0252568493150685
"ANXA2","  0.085440129","1.348843e-09","  2298",4.945474e-08,"UP",0.0256849315068493
"RPS9","  0.085051332","3.038590e-07","  7100",3.911153e-06,"UP",0.0261130136986301
"NPC2","  0.082649997","4.245119e-08","  4606",7.896531e-07,"UP",0.026541095890411
"MTRNR2L1","  0.082038157","2.564109e-06","   838",2.169506e-05,"UP",0.0269691780821918
"ERP29","  0.081835377","7.032247e-06","  5425",5.019782e-05,"UP",0.0273972602739726
"EEF1G","  0.080861635","8.320150e-06","  6251",5.752459e-05,"UP",0.0278253424657534
"EIF3E","  0.080117981","4.966593e-10","  3560",2.356562e-08,"UP",0.0282534246575342
"HSPA5","  0.078881827","4.252870e-08","  4107",7.896531e-07,"UP",0.0286815068493151
"DDX5","  0.075401796","5.133320e-05","  8296",0.0002571827,"UP",0.0291095890410959
"PAM","  0.072772705","6.423094e-07","  3218",6.969954e-06,"UP",0.0295376712328767
"SARAF","  0.072056869","1.975621e-07","  6435",2.812193e-06,"UP",0.0299657534246575
"ACTB","  0.070465956","9.391126e-09","  3444",2.342806e-07,"UP",0.0303938356164384
"ENO1","  0.069670033","6.241324e-07","  7323",6.862088e-06,"UP",0.0308219178082192
"NENF","  0.068861284","1.383438e-12","  2038",4.782467e-10,"UP",0.03125
"RASD1","  0.068358333","1.027805e-04","  5693",0.000457196,"UP",0.0316780821917808
"SEC11C","  0.068123935","1.107004e-03"," 10720",0.002871164,"UP",0.0321061643835616
"TIMP1","  0.067383569","4.600315e-06","  6596",3.556589e-05,"UP",0.0325342465753425
"GABARAP","  0.065726379","6.342983e-07","  7489",6.914027e-06,"UP",0.0329623287671233
"OAZ1","  0.064477514","1.700122e-06","  8179",1.52939e-05,"UP",0.0338184931506849
"CALR","  0.064387944","2.841925e-09","  2679",8.931252e-08,"UP",0.0342465753424658
"PRDX4","  0.064056583","2.253660e-11","  2769",3.207967e-09,"UP",0.0346746575342466
"TERF2IP","  0.064020252","8.285478e-08","  5893",1.336647e-06,"UP",0.0351027397260274
"PDIA6","  0.063422358","9.393611e-10","  3400",3.726432e-08,"UP",0.0355308219178082
"GPX3","  0.063372136","3.471604e-08","  2179",6.942811e-07,"UP",0.035958904109589
"TPI1","  0.061842998","2.265647e-05","  4715",0.0001321097,"UP",0.0368150684931507
"RPS5","  0.061334544","8.256471e-05"," 10328",0.0003817295,"UP",0.0372431506849315
"EEF1A1","  0.061305778","3.927495e-07","  2243",4.738241e-06,"UP",0.0376712328767123
"CANX","  0.060245459","6.810748e-05","  6259",0.0003302818,"UP",0.0380993150684932
"RBP1","  0.059536957","4.286614e-08","  2063",7.896531e-07,"UP",0.038527397260274
"TMBIM6","  0.059347228","8.993736e-07","  7148",9.106106e-06,"UP",0.0389554794520548
"TMED10","  0.058016760","2.669037e-08","  2729",5.520255e-07,"UP",0.0393835616438356
"RGS16","  0.056652947","5.127511e-09","  1483",1.394142e-07,"UP",0.0398116438356164
"EIF4A2","  0.056309271","7.269783e-04","  8791",0.00210429,"UP",0.0402397260273973
"CHCHD2","  0.056155546","2.960142e-07","  4227",3.871964e-06,"UP",0.0410958904109589
"HNRNPC","  0.056047283","6.703877e-10","  4016",2.872259e-08,"UP",0.0415239726027397
"CFC1","  0.053431618","5.011790e-09","  1200",1.378163e-07,"UP",0.0419520547945205
"APLP2","  0.053198252","1.089460e-07","  5163",1.647714e-06,"UP",0.0423801369863014
"TSC22D1","  0.053143904","2.429267e-07","  2116",3.360169e-06,"UP",0.0428082191780822
"CDKN1A","  0.052786654","9.059691e-08","  1269",1.451867e-06,"UP",0.043236301369863
"UBC","  0.052660262","1.158108e-04","  6069",0.0005004395,"UP",0.0436643835616438
"PEMT","  0.052467763","9.025216e-05","  2937",0.0004112951,"UP",0.0440924657534247
"TUBA1A","  0.052440034","1.091430e-04","  5985",0.0004783522,"UP",0.0445205479452055
"VKORC1","  0.052431230","3.485510e-07","  3259",4.370182e-06,"UP",0.0449486301369863
"NEFM","  0.052382995","2.570554e-08","   765",5.409028e-07,"UP",0.0453767123287671
"BTG1","  0.052229145","7.499531e-08","  2575",1.243002e-06,"UP",0.0458047945205479
"CUTA","  0.051793149","2.933941e-07","  4823",3.858549e-06,"UP",0.0462328767123288
"LOC728392","  0.051758774","2.284306e-12","  1297",6.141893e-10,"UP",0.0466609589041096
"LRPAP1","  0.051492444","2.203509e-08","  2556",4.718748e-07,"UP",0.0470890410958904
"TMED3","  0.051477216","3.191333e-10","  1611",1.755132e-08,"UP",0.0475171232876712
"RPSA","  0.050315829","3.458658e-11","  1951",4.160342e-09,"UP",0.0479452054794521
"MT1E","  0.049465054","4.114095e-07","   773",4.832786e-06,"UP",0.0483732876712329
"SRSF5","  0.049295857","2.332033e-08","  4204",4.950172e-07,"UP",0.0488013698630137
"YBX1","  0.048864229","6.698394e-06","  2969",4.844815e-05,"UP",0.0492294520547945
"PLOD2","  0.047911272","2.524426e-07","  1290",3.431888e-06,"UP",0.0496575342465753
"ID2","  0.047583876","1.484420e-06","  1483",1.381573e-05,"UP",0.0500856164383562
"HSPA8","  0.046666698","7.953983e-05","  4118",0.0003722927,"UP",0.050513698630137
"PGK1","  0.045939111","2.095112e-06","   530",1.810671e-05,"UP",0.0509417808219178
"ATP1B1","  0.045538886","8.645925e-04","  4329",0.002388349,"UP",0.0513698630136986
"PCSK2","  0.045469025","5.349335e-08","  1866",9.38018e-07,"UP",0.0517979452054795
"UBB","  0.045004109","4.838639e-03","  9204",0.008698985,"UP",0.0522260273972603
"NPDC1","  0.044736697","7.911621e-09","  2057",2.020584e-07,"UP",0.0526541095890411
"NACA","  0.044640485","9.145029e-05","  6287",0.0004151914,"UP",0.0530821917808219
"JUNB","  0.044538116","1.674925e-10","  1874",1.211787e-08,"UP",0.0535102739726027
"GRN","  0.044220006","1.532530e-06","  2468",1.41008e-05,"UP",0.0539383561643836
"ATP6AP2","  0.044062897","9.970874e-06","  3305",6.683692e-05,"UP",0.0543664383561644
"RPS3A","  0.043990543","1.791813e-08","  1306",3.977925e-07,"UP",0.0547945205479452
"CXXC5","  0.043643905","9.788187e-08","  2000",1.518337e-06,"UP",0.055222602739726
"MT1X","  0.043603660","4.635033e-04","  2043",0.001477752,"UP",0.0556506849315068
"EIF4B","  0.042473055","1.364052e-08","  2375",3.145077e-07,"UP",0.0560787671232877
"CTSB","  0.042351809","6.230138e-06","  2598",4.610419e-05,"UP",0.0565068493150685
"TSPAN13","  0.042000539","1.042335e-06","  1868",1.025327e-05,"UP",0.0569349315068493
"PNRC1","  0.041875955","3.653216e-07","  1936",4.510345e-06,"UP",0.0573630136986301
"PPIA","  0.041697319","3.032869e-09","  1501",9.40913e-08,"UP",0.057791095890411
"MATR3","  0.041253655","9.827880e-06","  4280",6.643046e-05,"UP",0.0582191780821918
"TUSC3","  0.041227555","1.049607e-05","  2944",6.958636e-05,"UP",0.0586472602739726
"SUMO2","  0.040847286","6.417512e-10","  1693",2.823543e-08,"UP",0.0590753424657534
"CIB1","  0.040373003","1.286339e-07","  1056",1.921458e-06,"UP",0.0595034246575342
"NDFIP1","  0.040173261","6.816285e-08","  2916",1.145449e-06,"UP",0.0599315068493151
"RPL13A","  0.040080273","6.287427e-04","  7186",0.001871427,"UP",0.0603595890410959
"LSAMP","  0.038897301","8.132887e-11","   682",7.028734e-09,"UP",0.0607876712328767
"APP","  0.038781097","4.815473e-05","  3490",0.0002468808,"UP",0.0612157534246575
"PPIB","  0.038238671","1.369253e-04","  5999",0.0005639465,"UP",0.0616438356164384
"NPM1","  0.037956257","4.126120e-05","  3006",0.0002170573,"UP",0.0620719178082192
"CST3","  0.037786317","3.185764e-04","  5782",0.001101301,"UP",0.0625
"PERP","  0.037435387","2.717008e-03","  4130",0.005682611,"UP",0.0629280821917808
"EEF1B2","  0.037225771","1.076715e-06","  1867",1.054859e-05,"UP",0.0633561643835616
"XBP1","  0.037142045","9.532457e-07","  2308",9.571462e-06,"UP",0.0637842465753425
"RHOBTB3","  0.037076709","6.514208e-06","  2458",4.748036e-05,"UP",0.0642123287671233
"EIF3H","  0.036760987","1.453654e-07","  4653",2.144903e-06,"UP",0.0646404109589041
"PRDX1","  0.036741253","8.721926e-07","  2703",8.868004e-06,"UP",0.0650684931506849
"H2AFZ","  0.035932498","2.124904e-05","  2796",0.0001257206,"UP",0.0654965753424658
"PCBP1","  0.035858431","1.135997e-08","  1248",2.695053e-07,"UP",0.0659246575342466
"PAPSS2","  0.035851813","7.493264e-05","  2774",0.0003548465,"UP",0.0663527397260274
"DDOST","  0.035794196","1.456764e-08","  1172",3.325628e-07,"UP",0.0667808219178082
"CSNK1A1","  0.034960397","4.255460e-06","  2446",3.311132e-05,"UP",0.067208904109589
"RBM3","  0.034743463","3.225130e-07","  1527",4.107561e-06,"UP",0.0676369863013699
"ATRAID","  0.034705650","2.274697e-07","  2812",3.181764e-06,"UP",0.0680650684931507
"LAPTM4A","  0.034526835","1.675440e-05","  3502",0.0001035255,"UP",0.0684931506849315
"CNBP","  0.034048584","1.199504e-04","  4116",0.0005155653,"UP",0.0689212328767123
"ATP6V0E1","  0.034020015","3.772069e-08","  3867",7.244351e-07,"UP",0.0693493150684932
"TMOD1","  0.033783912","1.355279e-06","  1611",1.281089e-05,"UP",0.069777397260274
"SQSTM1","  0.033775061","2.604607e-04","  4061",0.0009309876,"UP",0.0702054794520548
"MDH2","  0.033726635","2.852365e-08","  1958",5.849429e-07,"UP",0.0706335616438356
"PARK7","  0.033556250","2.040975e-05","  4506",0.0001213483,"UP",0.0710616438356164
"LGALS3BP","  0.033540361","1.934801e-08","  1705",4.217974e-07,"UP",0.0714897260273973
"YWHAQ","  0.033125506","2.492766e-06","  1968",2.123995e-05,"UP",0.0723458904109589
"KHDRBS1","  0.032953951","5.209538e-07","  1709",5.918478e-06,"UP",0.0727739726027397
"CD59","  0.032821902","4.301679e-04","  2990",0.001395371,"UP",0.0732020547945205
"LAMP1","  0.032775863","3.506386e-06","  1382",2.847305e-05,"UP",0.0736301369863014
"ARPC3","  0.032703622","5.362757e-06","  2446",4.093731e-05,"UP",0.074486301369863
"BRI3","  0.032573102","7.501606e-09","   491",1.973135e-07,"UP",0.0749143835616438
"GNG4","  0.032344203","6.136844e-07","  2616",6.780963e-06,"UP",0.0753424657534247
"IGFBP5","  0.032217286","7.612775e-06","   856",5.339669e-05,"UP",0.0757705479452055
"EMC10","  0.032122635","3.323870e-06","  2982",2.717332e-05,"UP",0.0761986301369863
"APLP1","  0.031951159","3.071926e-07","  1674",3.93314e-06,"UP",0.0766267123287671
"JAK1","  0.031823695","1.759936e-05","  1832",0.0001072746,"UP",0.0770547945205479
"CKB","  0.031599304","1.049717e-08","  1129",2.544114e-07,"UP",0.0774828767123288
"SLC25A3","  0.031359614","1.237099e-04","  2796",0.0005233581,"UP",0.0779109589041096
"BTG2","  0.031315763","2.011782e-06","   949",1.763853e-05,"UP",0.0783390410958904
"DUSP1","  0.031295547","2.786511e-07","   766",3.704929e-06,"UP",0.0787671232876712
"HEXB","  0.031137806","4.755209e-05","  2125",0.0002443088,"UP",0.0791952054794521
"TUBA1B","  0.031074506","2.164717e-03","  5233",0.004790441,"UP",0.0796232876712329
"SIX3-AS1","  0.030700722","9.359000e-08","   544",1.483138e-06,"UP",0.0800513698630137
"H1FX","  0.030498770","9.406967e-08","   473",1.483138e-06,"UP",0.0804794520547945
"ATP6V0B","  0.030458595","5.865213e-04","  3666",0.001780803,"UP",0.0809075342465753
"PSMA7","  0.029816070","1.407914e-03","  6683",0.003464425,"UP",0.0813356164383562
"ATP5A1","  0.029564071","7.408022e-04","  3845",0.002131464,"UP",0.081763698630137
"PSMB4","  0.029182642","1.748704e-06","  2117",1.567267e-05,"UP",0.0821917808219178
"C9orf135","  0.028922428","7.121222e-07","   273",7.492334e-06,"UP",0.0826198630136986
"SKP1","  0.028855968","1.219630e-04","  5346",0.0005205225,"UP",0.0830479452054795
"MYL12A","  0.028777480","4.344703e-07","  1349",5.057526e-06,"UP",0.0834760273972603
"AQP3","  0.028616236","6.564860e-08","   409",1.118736e-06,"UP",0.0839041095890411
"NUDT9","  0.028549210","3.812516e-06","  1585",3.034789e-05,"UP",0.0843321917808219
"BTF3","  0.028227522","1.582527e-05","  4327",9.887086e-05,"UP",0.0847602739726027
"RPS7","  0.028181901","1.937647e-05","  3272",0.0001159471,"UP",0.0851883561643836
"MAP1B","  0.028042106","3.427841e-03","  4251",0.006779188,"UP",0.0856164383561644
"CCNI","  0.028030734","8.926338e-04","  4412",0.00243801,"UP",0.0860445205479452
"ARL6IP5","  0.028008483","3.673512e-04","  4008",0.001238076,"UP",0.086472602739726
"TAF7","  0.027985596","3.483287e-05","  2600",0.0001898439,"UP",0.0869006849315068
"SDF4","  0.027946468","2.431324e-07","  1037",3.360169e-06,"UP",0.0873287671232877
"LGMN","  0.027694175","2.782979e-06","   980",2.322215e-05,"UP",0.0877568493150685
"GPI","  0.027588618","7.853482e-09","  1201",2.020584e-07,"UP",0.0881849315068493
"RABAC1","  0.027585222","4.189826e-05","  3001",0.0002189805,"UP",0.0886130136986301
"RHOA","  0.027411620","4.845043e-04","  3815",0.001528596,"UP",0.089041095890411
"BRK1","  0.027264827","3.818639e-05","  2486",0.0002035369,"UP",0.0894691780821918
"TMX4","  0.027262532","1.087944e-03","  2501",0.00282779,"UP",0.0898972602739726
"DNAJC12","  0.027202650","1.018809e-03","  2829",0.002680748,"UP",0.0903253424657534
"CCT6A","  0.027160390","1.413758e-07","  2857",2.098834e-06,"UP",0.0907534246575342
"XRCC5","  0.027159706","7.318486e-04","  2411",0.002113332,"UP",0.0911815068493151
"LAPTM4B","  0.027022062","7.232520e-11","   676",6.731421e-09,"UP",0.0916095890410959
"GDF15","  0.026917709","2.614684e-05","   352",0.0001488746,"UP",0.0920376712328767
"TSPAN3","  0.026854306","6.853317e-05","  2336",0.0003312949,"UP",0.0924657534246575
"REEP5","  0.026825782","1.921806e-06","  3405",1.703482e-05,"UP",0.0928938356164384
"NEAT1","  0.026609165","3.593276e-04","  2239",0.001217819,"UP",0.0933219178082192
"AGT","  0.026584627","7.914419e-06","   451",5.51925e-05,"UP",0.09375
"SET","  0.026544389","2.317488e-05","  1822",0.0001348076,"UP",0.0941780821917808
"CLTA","  0.026503391","3.201052e-03","  3321",0.006401737,"UP",0.0946061643835616
"MYL12B","  0.026485816","1.665494e-03","  4202",0.003928133,"UP",0.0950342465753425
"LIMCH1","  0.026465722","2.394113e-04","  1847",0.0008791993,"UP",0.0954623287671233
"P4HTM","  0.026354941","5.284963e-07","  1623",5.976111e-06,"UP",0.0958904109589041
"JTB","  0.026295291","1.126222e-05","  2413",7.293124e-05,"UP",0.0963184931506849
"PON3","  0.026260891","1.147996e-04","   625",0.0004985268,"UP",0.0967465753424658
"SFPQ","  0.026144506","4.011708e-06","  1678",3.151875e-05,"UP",0.0971746575342466
"BTG3","  0.025996101","1.322209e-03","  3431",0.003301921,"UP",0.0976027397260274
"PKM","  0.025603531","5.585169e-05","  2391",0.0002758231,"UP",0.0980308219178082
"BAG1","  0.025600862","1.171966e-04","  1786",0.0005055248,"UP",0.098458904109589
"BCLAF1","  0.025483842","1.470188e-04","  2371",0.0005949248,"UP",0.0988869863013699
"EDF1","  0.025390533","1.274654e-04","  3417",0.0005327264,"UP",0.0993150684931507
"NAA20","  0.025253604","1.715731e-05","  2316",0.0001051096,"UP",0.0997431506849315
"ASNS","  0.025175529","2.646651e-08","   696",5.520255e-07,"UP",0.100171232876712
"HSPB1","  0.025065974","3.229778e-03","  1047",0.006448528,"UP",0.100599315068493
"ITM2C","  0.025010343","1.279612e-04","  1772",0.0005338765,"UP",0.101027397260274
"EEF1D","  0.024926177","2.637989e-04","  2036",0.0009415289,"UP",0.101455479452055
"SRP9","  0.024914351","1.750929e-03","  2247",0.004066225,"UP",0.101883561643836
"DDIT3","  0.024886318","1.854223e-04","  1370",0.000716767,"UP",0.102311643835616
"RNF130","  0.024871835","2.465022e-05","  1866",0.000142363,"UP",0.102739726027397
"EPRS","  0.024744246","3.964190e-05","  2378",0.0002103682,"UP",0.103167808219178
"CD55","  0.024702852","4.111606e-07","   883",4.832786e-06,"UP",0.103595890410959
"GADD45A","  0.024518131","2.602716e-07","   827",3.499007e-06,"UP",0.10402397260274
"SEPT7","  0.024457352","4.270062e-03","  3711",0.007881738,"UP",0.104452054794521
"ERP44","  0.024441572","2.032328e-06","  1394",1.775434e-05,"UP",0.104880136986301
"CMAS","  0.024208726","7.513979e-06","  1260",5.285694e-05,"UP",0.105308219178082
"INSIG1","  0.024180453","3.636185e-04","  1280",0.001230638,"UP",0.105736301369863
"CTSD","  0.024100765","3.730768e-05","  1281",0.0001997332,"UP",0.106164383561644
"DNAJC1","  0.024054916","5.023334e-05","  1559",0.0002527187,"UP",0.106592465753425
"EIF3F","  0.023982440","5.245286e-05","  1030",0.0002622493,"UP",0.107020547945205
"SRSF9","  0.023976042","2.653507e-04","  1173",0.000945673,"UP",0.107448630136986
"CTSA","  0.023864883","1.068316e-04","  1630",0.0004703378,"UP",0.107876712328767
"RPN2","  0.023802921","1.449576e-03","  2231",0.003542746,"UP",0.108304794520548
"TMEM123","  0.023618968","9.848499e-05","  1380",0.0004421522,"UP",0.108732876712329
"CTBS","  0.023588187","1.481492e-09","   802",5.272068e-08,"UP",0.10916095890411
"CTSL","  0.023525717","7.990593e-05","  1405",0.0003725651,"UP",0.10958904109589
"UQCRFS1","  0.023493380","1.240724e-04","  1438",0.0005239757,"UP",0.110017123287671
"HOPX","  0.023446993","8.682711e-07","   985",8.865382e-06,"UP",0.110445205479452
"MTHFD2","  0.023413528","2.580832e-07","   484",3.48897e-06,"UP",0.110873287671233
"BNIP3L","  0.023392963","1.234265e-04","  2140",0.0005233581,"UP",0.111301369863014
"IDS","  0.023373079","2.514777e-06","  2900",2.135232e-05,"UP",0.111729452054795
"BSG","  0.023362697","1.500361e-06","   711",1.38575e-05,"UP",0.112157534246575
"PSMD8","  0.023327860","1.585293e-05","  1873",9.887086e-05,"UP",0.112585616438356
"COMTD1","  0.023325160","1.404789e-06","  1023",1.317595e-05,"UP",0.113013698630137
"MDH1","  0.023228209","4.894995e-04","  2720",0.001535664,"UP",0.113441780821918
"SBDS","  0.023164621","7.161585e-06","  2491",5.082124e-05,"UP",0.113869863013699
"TMBIM4","  0.023098198","4.793787e-03","  3381",0.008631174,"UP",0.114297945205479
"BMP5","  0.023060926","2.015787e-05","   895",0.0001201459,"UP",0.11472602739726
"SCAND1","  0.023026149","1.322388e-04","  2131",0.0005488842,"UP",0.115154109589041
"UBE2D3","  0.023019936","4.570362e-04","  3132",0.001460983,"UP",0.115582191780822
"RAC1","  0.022875455","1.183842e-06","  1030",1.150495e-05,"UP",0.116010273972603
"DPP7","  0.022777379","3.284634e-04","  1823",0.001130634,"UP",0.116438356164384
"PSMA2","  0.022752849","7.061482e-05","  1901",0.0003373832,"UP",0.117294520547945
"YWHAH","  0.022735162","4.808403e-07","  1527",5.540794e-06,"UP",0.117722602739726
"ATP5F1","  0.022501253","1.033602e-06","  1698",1.020887e-05,"UP",0.118578767123288
"WBSCR22","  0.022489975","5.779843e-05","  2078",0.0002825539,"UP",0.119006849315068
"ATP6V0C","  0.022420161","3.143289e-03","  3596",0.006322796,"UP",0.119434931506849
"ATF4","  0.022338690","9.482246e-05","  1522",0.0004296951,"UP",0.11986301369863
"IER2","  0.022036139","2.197513e-05","   540",0.0001290698,"UP",0.120291095890411
"HNRNPA1","  0.021989482","8.781810e-06","  1286",6.037148e-05,"UP",0.120719178082192
"RAN","  0.021822055","2.766072e-05","  2148",0.0001563904,"UP",0.121147260273973
"ARF4","  0.021801686","6.910454e-06","  1235",4.976886e-05,"UP",0.121575342465753
"C1QBP","  0.021783993","2.497773e-05","  1339",0.0001435692,"UP",0.122003424657534
"TMEM14C","  0.021722950","3.522497e-05","  1608",0.000191152,"UP",0.122431506849315
"CEBPD","  0.021656618","9.926529e-08","   257",1.529989e-06,"UP",0.122859589041096
"LMAN2","  0.021574066","1.127184e-05","  1369",7.293124e-05,"UP",0.123715753424658
"COX7A2L","  0.021556841","6.659400e-04","  2475",0.001960441,"UP",0.124143835616438
"C4orf3","  0.021540431","9.063286e-06","  2036",6.213001e-05,"UP",0.124571917808219
"RHEB","  0.021449525","7.765738e-05","  1011",0.0003641862,"UP",0.125
"H2AFY","  0.021443882","1.391663e-05","  1841",8.792772e-05,"UP",0.125428082191781
"RCN1","  0.021396059","3.368822e-10","   684",1.811574e-08,"UP",0.125856164383562
"APOBEC2","  0.021297084","3.764544e-08","   382",7.244351e-07,"UP",0.126284246575342
"GNPTG","  0.021242204","1.016199e-05","  1190",6.77427e-05,"UP",0.126712328767123
"SEC11A","  0.021200385","6.610060e-04","  1903",0.001950662,"UP",0.127140410958904
"ITFG1","  0.021150158","6.289916e-06","  1130",4.640465e-05,"UP",0.127996575342466
"ADGRG1","  0.021117064","1.227508e-06","  1092",1.185966e-05,"UP",0.128424657534247
"ATP5B","  0.021022106","4.907041e-05","  2329",0.0002499089,"UP",0.128852739726027
"C9orf3","  0.021020827","3.904653e-06","   804",3.087816e-05,"UP",0.129280821917808
"EGR1","  0.021003655","6.180576e-04","  1398",0.00185002,"UP",0.129708904109589
"TMED4","  0.020989023","1.893611e-03","  2522",0.004322902,"UP",0.13013698630137
"G3BP2","  0.020985972","7.250571e-04","  1741",0.002101243,"UP",0.130565068493151
"RTN3","  0.020869498","1.384805e-04","  2900",0.0005679723,"UP",0.130993150684932
"SLC3A2","  0.020816431","8.612486e-04","  1849",0.002382403,"UP",0.131421232876712
"LINC01099","  0.020814851","1.755242e-06","   481",1.567322e-05,"UP",0.131849315068493
"ESD","  0.020725997","7.041136e-05","  2429",0.0003373832,"UP",0.132277397260274
"ATP6AP1","  0.020718481","3.654550e-04","  2007",0.001235126,"UP",0.132705479452055
"LSM4","  0.020201322","1.549981e-06","  1477",1.420734e-05,"UP",0.133133561643836
"MANF","  0.020152019","6.266977e-07","   944",6.862088e-06,"UP",0.133561643835616
"OS9","  0.020112680","2.513108e-05","  1533",0.0001441001,"UP",0.133989726027397
"TXNDC15","  0.020094471","1.835675e-07","  1071",2.659928e-06,"UP",0.134417808219178
