name	chrom	txStart	txEnd	name2
NM_012093	chr1	77520874	77798242	AK5
NM_001160011	chr1	76312976	76815480	ST6GALNAC3
NR_125943	chr1	81752152	81795975	LOC101927434
NM_174858	chr1	77520249	77798242	AK5
NM_152996	chr1	76312976	76869257	ST6GALNAC3
NM_032186	chr1	91153444	91260400	ZNF644
NM_001514	chr1	89090908	89129889	GTF2B
NM_152890	chr1	85967503	86394709	COL24A1
NM_201269	chr1	91153444	91260400	ZNF644
NM_016620	chr1	91153444	91259653	ZNF644
NM_001164393	chr1	93317379	93377226	MTF2
NM_001199691	chr1	95356066	95483097	TMEM56-RWDD3
NM_000110	chr1	97315887	98159203	DPYD
NM_152487	chr1	95355481	95435749	TMEM56
NM_001164391	chr1	93317379	93377226	MTF2
NM_001199679	chr1	95330660	95435749	TMEM56
NR_125948	chr1	95401362	95472126	LOC101928118
NR_125949	chr1	95401362	95472126	LOC101928118
NR_046590	chr1	97334066	97561099	DPYD-AS1
NM_007358	chr1	93317379	93377226	MTF2
NM_001164392	chr1	93317379	93377226	MTF2
NM_006113	chr1	107915304	108309068	VAV3
NM_001079874	chr1	107915304	108032649	VAV3
NM_001286997	chr1	103733288	103840693	LOC101928436
NM_133181	chr1	110094224	110108167	EPS8L3
NM_004980	chr1	112119976	112333300	KCND3
NM_139053	chr1	110094224	110108167	EPS8L3
NM_152696	chr1	114273518	114316218	HIPK1
NM_198268	chr1	114273518	114322014	HIPK1
NM_172198	chr1	112119976	112333300	KCND3
NM_018420	chr1	116320641	116414198	SLC22A15
NM_024526	chr1	110094224	110108167	EPS8L3
NM_001319952	chr1	110094224	110108167	EPS8L3
NM_206996	chr1	118297810	118529371	SPAG17
NR_125975	chr1	119484541	119620119	LOC101929147
NR_125976	chr1	119484541	119578324	LOC101929147
NM_001172649	chr1	149939157	149955920	CELF3
NM_001198834	chr1	143562780	143706390	PDE4DIP
NR_024511	chr1	147843090	147885758	LINC00623
NR_024510	chr1	147843090	147885758	LINC00623
NR_024584	chr1	147842105	147885758	LINC00623
NM_001302371	chr1	144004727	147023308	NBPF10
NR_111954	chr1	147842885	147939607	LOC103091866
NR_111956	chr1	147842885	147939607	LOC103091866
NR_111955	chr1	147842885	147939607	LOC103091866
NM_001291107	chr1	149939157	149955920	CELF3
NM_001291106	chr1	149939157	149955920	CELF3
NM_018178	chr1	148885324	148936296	GOLPH3L
NM_014644	chr1	143562780	143706390	PDE4DIP
NM_007185	chr1	149939157	149955920	CELF3
NM_001002812	chr1	143601947	143706390	PDE4DIP
NM_001278141	chr1	143304951	144081556	NBPF12
NM_001198832	chr1	143562780	143751352	PDE4DIP
NR_109754	chr1	147843090	147885758	LINC00623
NM_001172648	chr1	149939157	149955416	CELF3
NM_001278267	chr1	142858167	144081661	NBPF20
NR_104217	chr1	146616873	147376349	NBPF25P
NR_111950	chr1	147842784	147917731	LINC00869
NR_111958	chr1	147842885	147939607	LOC103091866
NR_111957	chr1	147842885	147939607	LOC103091866
NM_002249	chr1	152936565	153109378	KCNN3
NM_001204087	chr1	152936565	153109378	KCNN3
NM_198236	chr1	155171255	155281786	ARHGEF11
NM_005531	chr1	157246305	157291569	IFI16
NM_170782	chr1	152936565	153098962	KCNN3
NM_018240	chr1	156229686	156336676	KIRREL
NM_052868	chr1	158327752	158335063	IGSF8
NM_006912	chr1	154134222	154147817	RIT1
NM_001206665	chr1	158327752	158335242	IGSF8
NM_001286349	chr1	156229686	156336676	KIRREL
NM_001256820	chr1	154134222	154147817	RIT1
NM_001256821	chr1	154134222	154147330	RIT1
NM_014784	chr1	155171255	155281786	ARHGEF11
NM_001206567	chr1	157246305	157291569	IFI16
NM_001164757	chr1	160306204	160606437	NOS1AP
NM_014697	chr1	160306204	160606437	NOS1AP
NM_001174069	chr1	163437727	163592102	LMX1A
NM_000734	chr1	165666500	165754471	CD247
NR_125956	chr1	166699975	166731506	LOC101928565
NM_198053	chr1	165666500	165754471	CD247
NM_001254748	chr1	161378712	161558205	RGS5
NM_177398	chr1	163437727	163592576	LMX1A
NM_014857	chr1	172395174	173193950	RABGAP1L
NM_004319	chr1	175096822	175400663	ASTN1
NM_207108	chr1	175104576	175400663	ASTN1
NM_014458	chr1	171950702	172022463	KLHL20
NM_001286164	chr1	175093063	175400663	ASTN1
NM_014810	chr1	178190530	178350638	CEP350
NM_001105518	chr1	183392814	183527536	SWT1
NM_017673	chr1	183392913	183527536	SWT1
NM_001252103	chr1	199205136	199259451	KIF21B
NM_017596	chr1	199205136	199259451	KIF21B
NM_001252100	chr1	199205136	199259451	KIF21B
NR_040073	chr1	197043754	197173181	MIR181A1HG
NM_001252102	chr1	199205136	199259451	KIF21B
NM_015375	chr1	203378253	203447350	DSTYK
NM_001170580	chr1	208569262	208916261	HHAT
NM_001170587	chr1	208568872	208916261	HHAT
NM_001122834	chr1	208568218	208916261	HHAT
NM_001170564	chr1	208568218	208916261	HHAT
NM_018194	chr1	208568872	208916261	HHAT
NM_001170588	chr1	208568872	208916261	HHAT
NM_199462	chr1	203378253	203447350	DSTYK
NM_001297762	chr1	202366811	202387933	ETNK2
NM_001297761	chr1	202366811	202387933	ETNK2
NM_001297760	chr1	202366811	202387933	ETNK2
NM_018208	chr1	202366811	202387933	ETNK2
NM_001243519	chr1	214743210	214963437	ESRRG
NM_001243518	chr1	214743210	214963437	ESRRG
NM_001243515	chr1	214743210	214963437	ESRRG
NM_001243514	chr1	214743210	215045332	ESRRG
NM_001243512	chr1	214743210	215179638	ESRRG
NM_001243511	chr1	214743210	215377720	ESRRG
NM_001243510	chr1	214743210	215377720	ESRRG
NM_001243509	chr1	214743210	215316935	ESRRG
NM_001243507	chr1	214743210	215316935	ESRRG
NM_001243506	chr1	214743210	215329610	ESRRG
NM_001243505	chr1	214743210	215329819	ESRRG
NM_206594	chr1	214743210	215329610	ESRRG
NM_138796	chr1	215871288	216108118	SPATA17
NM_001438	chr1	214743210	214963437	ESRRG
NM_001134285	chr1	214743210	215377720	ESRRG
NR_031644	chr1	216677597	217348075	MIR548F3
NM_001243513	chr1	214743210	215179638	ESRRG
NM_016343	chr1	212843154	212904537	CENPF
NM_206595	chr1	214743210	215329610	ESRRG
NM_206933	chr1	213862858	214663361	USH2A
NM_014826	chr1	225244188	225572449	CDC42BPA
NM_001373	chr1	223183978	223653619	DNAH14
NM_003607	chr1	225244188	225572449	CDC42BPA
NM_020808	chr1	230600334	230717977	SIPA1L2
NM_145257	chr1	227523374	227545311	CCSAP
NM_004485	chr1	233777607	233880677	GNG4
NM_001098721	chr1	233777607	233880677	GNG4
NM_001258311	chr1	228524014	228628297	PGBD5
NM_001098722	chr1	233777607	233879916	GNG4
NR_039973	chr1	233742747	233948036	MIR5096
NM_001282773	chr1	239005436	239587153	RGS7
NM_001282775	chr1	239005436	239587153	RGS7
NM_000740	chr1	237858995	238139340	CHRM3
NM_001282778	chr1	239005436	239587153	RGS7
NR_033883	chr1	242147326	242277242	LOC339529
NM_001035	chr1	235272324	236063911	RYR2
NM_002924	chr1	239005436	239587153	RGS7
NM_022743	chr1	243979264	244647337	SMYD3
NM_001167740	chr1	243979264	244737267	SMYD3
NM_001243740	chr1	245351899	245401942	ZNF124
NR_028327	chr1	651001	655594	LOC100133331
NM_001170535	chr1	1437385	1459930	ATAD3A
NM_033489	chr1	1560465	1645719	CDK11B
NM_033490	chr1	1560465	1645719	CDK11B
NM_001787	chr1	1560465	1645719	CDK11B
NM_001291345	chr1	1560465	1645719	CDK11B
NM_001170536	chr1	1437772	1459930	ATAD3A
NM_194458	chr1	1179154	1199097	UBE2J2
NM_194315	chr1	1179154	1199097	UBE2J2
NM_018188	chr1	1437385	1459930	ATAD3A
NM_033487	chr1	1560465	1645719	CDK11B
NM_033486	chr1	1560465	1645719	CDK11B
NM_194457	chr1	1179154	1199097	UBE2J2
NM_058167	chr1	1179154	1199097	UBE2J2
NM_001242672	chr1	2562666	2696090	TTC34
NM_003036	chr1	2149993	2231512	SKI
NR_037844	chr1	2485967	2498671	LOC115110
NR_121638	chr1	2409180	2505833	LOC100996583
NM_152492	chr1	3658824	3678069	CCDC27
NM_017818	chr1	3537190	3556531	WRAP73
NM_207356	chr1	3795556	3806717	C1orf174
NM_001409	chr1	3394365	3517919	MEGF6
NM_001042478	chr1	4614964	4737714	AJAP1
NM_018836	chr1	4614964	4743711	AJAP1
NM_001199861	chr1	5974944	6083840	KCNAB2
NM_003636	chr1	6008659	6083840	KCNAB2
NM_001199863	chr1	6028760	6083840	KCNAB2
NM_001199862	chr1	6028567	6083840	KCNAB2
NM_001291594	chr1	5845454	5975120	NPHP4
NM_001199860	chr1	6016934	6083840	KCNAB2
NM_015557	chr1	6084433	6162781	CHD5
NM_015102	chr1	5845454	5975120	NPHP4
NM_172130	chr1	6008659	6083840	KCNAB2
NM_001291593	chr1	5845454	5975120	NPHP4
NR_111987	chr1	5845454	5975120	NPHP4
NM_001195563	chr1	6767970	6854694	CAMTA1
NM_001242701	chr1	6767970	6870848	CAMTA1
NM_138697	chr1	6537924	6562404	TAS1R1
NR_038934	chr1	6767970	6870848	CAMTA1
NM_031475	chr1	6407434	6443591	ESPN
NM_177540	chr1	6537924	6562404	TAS1R1
NM_018948	chr1	7994365	8008980	ERRFI1
NM_001135585	chr1	9024013	9052474	SLC2A5
NM_025106	chr1	9275527	9352177	SPSB1
NM_003039	chr1	9019591	9052474	SLC2A5
NM_006048	chr1	10015627	10163883	UBE4B
NM_005026	chr1	9634376	9711759	PIK3CD
NM_001105562	chr1	10015627	10163883	UBE4B
NM_183416	chr1	10193350	10291242	KIF1B
NM_022787	chr1	9926072	9968143	NMNAT1
NM_015074	chr1	10193350	10364248	KIF1B
NM_001297779	chr1	9926072	9964411	NMNAT1
NM_001297778	chr1	9925567	9968143	NMNAT1
NM_017766	chr1	10629849	10779320	CASZ1
NM_001079843	chr1	10619252	10779320	CASZ1
NM_004958	chr1	11089174	11245195	MTOR
NM_006610	chr1	11009166	11029883	MASP2
NM_001243	chr1	12046020	12126851	TNFRSF8
NM_001256959	chr1	11788739	11825788	CLCN6
NR_046428	chr1	11788739	11825788	CLCN6
NM_000302	chr1	11917310	11958186	PLOD1
NM_001066	chr1	12149646	12191864	TNFRSF1B
NM_001127325	chr1	11657123	11674265	MAD2L2
NM_018156	chr1	12212682	12494685	VPS13D
NM_001286	chr1	11788739	11825788	CLCN6
NM_001281430	chr1	12046020	12126851	TNFRSF8
NM_015378	chr1	12212682	12494685	VPS13D
NM_001316320	chr1	11917310	11958186	PLOD1
NM_001310134	chr1	12974826	13035289	PRAMEF25
NM_001306072	chr1	12974980	13035289	PRAMEF26
NM_001010889	chr1	13232419	13241523	PRAMEF6
NM_001099851	chr1	13367844	13370844	PRAMEF17
NM_001300891	chr1	13237472	13241320	PRAMEF27
NM_001013407	chr1	13232405	13241644	PRAMEF5
NM_015209	chr1	14797799	15267238	KAZN
NM_201628	chr1	14797799	15317131	KAZN
NM_001018001	chr1	15128882	15267238	KAZN
NM_001018000	chr1	15123211	15267238	KAZN
NM_001017999	chr1	15145001	15267238	KAZN
NR_027136	chr1	15310897	15351547	TMEM51-AS1
NM_052929	chr1	15446354	15597209	FHAD1
NM_001145278	chr1	16639753	16659171	NECAP2
NM_001145277	chr1	16639753	16659171	NECAP2
NM_018994	chr1	16445921	16551573	FBXO42
NM_000085	chr1	16242817	16256408	CLCNKB
NM_001165945	chr1	16247843	16256408	CLCNKB
NM_006511	chr1	15858794	15861112	RSC1A1
NM_032341	chr1	15816539	15860139	DDI2
NM_018090	chr1	16639753	16659171	NECAP2
NM_015001	chr1	16046945	16139537	SPEN
NM_007365	chr1	17265842	17318535	PADI2
NM_013358	chr1	17404207	17445088	PADI1
NM_014675	chr1	17121031	17172061	CROCC
NR_026567	chr1	16890299	16919239	ESPNP
NM_030812	chr1	17954394	18026145	ACTL8
NM_032880	chr1	18306826	18577564	IGSF21
NM_001136265	chr1	19103360	19155413	IFFO2
NR_109848	chr1	19511326	19531509	PQLC2
NM_001206540	chr1	19537853	19684722	CAPZB
NM_001206541	chr1	19537853	19684722	CAPZB
NM_020765	chr1	19273586	19409333	UBR4
NM_004930	chr1	19537853	19684722	CAPZB
NM_001282162	chr1	19537853	19683788	CAPZB
NM_001313932	chr1	19573255	19684722	CAPZB
NM_001271814	chr1	20311729	20318646	PLA2G2D
NR_033887	chr1	20558880	20627874	LINC01141
NM_012400	chr1	20311729	20318646	PLA2G2D
NM_032409	chr1	20832534	20850591	PINK1
NM_001198803	chr1	21140324	21373838	EIF4G3
NM_032236	chr1	21877378	21982275	USP48
NM_003760	chr1	21005371	21310463	EIF4G3
NM_001113348	chr1	21416326	21544621	ECE1
NM_001198802	chr1	21005371	21375968	EIF4G3
NM_001198801	chr1	21005371	21375968	EIF4G3
NR_038404	chr1	21492369	21498949	LOC100506801
NM_001177520	chr1	21708437	21777492	ALPL
NM_001127501	chr1	21708437	21777492	ALPL
NM_000478	chr1	21708437	21777492	ALPL
NM_044472	chr1	22251706	22289883	CDC42
NM_001083621	chr1	22650930	22730237	ZBTB40
NM_001791	chr1	22251706	22292023	CDC42
NM_014870	chr1	22650930	22730237	ZBTB40
NM_001039802	chr1	22251706	22292023	CDC42
NM_004091	chr1	23705506	23730299	E2F2
NM_020362	chr1	23977462	23987309	PITHD1
NM_033631	chr1	23283102	23367938	LUZP1
NM_001142546	chr1	23283102	23367938	LUZP1
NM_003196	chr1	23579988	23623859	TCEA3
NR_110799	chr1	23721008	23727498	LOC101928163
NM_013943	chr1	24944346	25043402	CLIC4
NM_001010980	chr1	24755153	24808405	NCMAP
NM_020448	chr1	24614831	24672060	NIPAL3
NM_170743	chr1	24353233	24386352	IFNLR1
NM_173065	chr1	24353233	24386352	IFNLR1
NM_173064	chr1	24353233	24386352	IFNLR1
NM_001145454	chr1	26083263	26105580	STMN1
NM_014313	chr1	25537375	25561439	TMEM50A
NM_018202	chr1	25629935	25699285	TMEM57
NM_015484	chr1	25421353	25431600	SYF2
NM_020379	chr1	25816545	25985285	MAN1C1
NM_207170	chr1	25421353	25431600	SYF2
NM_001282564	chr1	25629935	25699285	TMEM57
NM_001289010	chr1	25816545	25985285	MAN1C1
NM_002953	chr1	26728835	26774107	RPS6KA1
NM_006600	chr1	27120799	27145949	NUDC
NM_001281517	chr1	26433230	26477888	CEP85
NM_001319944	chr1	26433230	26477888	CEP85
NM_022778	chr1	26433230	26477888	CEP85
NM_001281518	chr1	26468360	26477888	CEP85
NM_032125	chr1	27521222	27535478	TMEM222
NM_001201404	chr1	27603316	27689285	WASF2
NM_001990	chr1	28169441	28287735	EYA3
NM_014110	chr1	28029838	28050770	PPP1R8
NR_033926	chr1	27522951	27525603	ACTG1P20
NM_002713	chr1	28029911	28050770	PPP1R8
NM_001282560	chr1	28176370	28287735	EYA3
NM_006990	chr1	27603316	27689285	WASF2
NM_001282562	chr1	28169441	28287735	EYA3
NM_001282561	chr1	28169441	28287735	EYA3
NM_001029882	chr1	27733342	27802592	AHDC1
NR_037580	chr1	27521222	27535478	TMEM222
NR_037577	chr1	27521222	27535478	TMEM222
NR_037576	chr1	27521222	27535478	TMEM222
NM_138558	chr1	28029911	28050770	PPP1R8
NM_004437	chr1	29086189	29319145	EPB41
NM_001166006	chr1	29113674	29264320	EPB41
NM_001173128	chr1	28935719	28968874	YTHDF2
NM_001166005	chr1	29086189	29319145	EPB41
NM_001135218	chr1	28802195	28842191	TAF12
NM_203343	chr1	29086189	29319145	EPB41
NM_203342	chr1	29086189	29319145	EPB41
NM_016258	chr1	28935722	28968874	YTHDF2
NM_001166007	chr1	29086189	29319145	EPB41
NM_001172828	chr1	28936038	28968874	YTHDF2
NM_005644	chr1	28802195	28842191	TAF12
NM_001048183	chr1	28568679	28699468	PHACTR4
NM_133178	chr1	29435614	29525912	PTPRU
NM_005704	chr1	29435614	29525912	PTPRU
NM_001195001	chr1	29435614	29525912	PTPRU
NM_133177	chr1	29435614	29525912	PTPRU
NR_110790	chr1	30259385	30283046	LOC101929406
NM_014676	chr1	31176939	31311151	PUM1
NM_001020658	chr1	31176939	31311151	PUM1
NM_001294336	chr1	31965292	32002251	ADGRB2
NM_001282574	chr1	31542415	31610387	ZCCHC17
NM_001282573	chr1	31542415	31610387	ZCCHC17
NM_001282572	chr1	31542415	31610387	ZCCHC17
NM_001282571	chr1	31542415	31610387	ZCCHC17
NM_001282570	chr1	31542415	31610387	ZCCHC17
NM_001294335	chr1	31965292	32002251	ADGRB2
NM_001282567	chr1	31542415	31610387	ZCCHC17
NM_012316	chr1	32346230	32414755	KPNA6
NM_016505	chr1	31542415	31610387	ZCCHC17
NM_001282568	chr1	31542415	31610387	ZCCHC17
NM_001282569	chr1	31542415	31610387	ZCCHC17
NM_001282566	chr1	31542415	31610387	ZCCHC17
NM_001135256	chr1	32889545	32924399	RBBP4
NM_001135255	chr1	32889335	32924399	RBBP4
NM_003680	chr1	33013426	33056220	YARS
NM_005610	chr1	32889335	32924399	RBBP4
NM_001281956	chr1	33752185	34403462	CSMD2
NM_052896	chr1	33752185	34404030	CSMD2
NM_001080418	chr1	35103623	35167773	DLGAP3
NM_005268	chr1	34993234	34996700	GJB5
NM_007167	chr1	35224353	35270156	ZMYM6
NM_024852	chr1	36169269	36294650	AGO3
NM_024874	chr1	35671677	35795624	KIAA0319L
NM_177422	chr1	36169269	36294650	AGO3
NM_000831	chr1	37033714	37272431	GRIK3
NM_005540	chr1	38098955	38185316	INPP5B
NM_001297434	chr1	38098955	38170050	INPP5B
NM_012090	chr1	39322425	39725397	MACF1
NR_132413	chr1	40079290	40121770	TRIT1
NM_017646	chr1	40079290	40121770	TRIT1
NR_132412	chr1	40079290	40121770	TRIT1
NR_132405	chr1	40079290	40121770	TRIT1
NR_132402	chr1	40079290	40121770	TRIT1
NR_132409	chr1	40079290	40121770	TRIT1
NR_132408	chr1	40079290	40121770	TRIT1
NM_005857	chr1	40496308	40532443	ZMPSTE24
NM_001198979	chr1	40631603	40661585	SMAP2
NM_001312692	chr1	40079290	40121770	TRIT1
NM_001312691	chr1	40079290	40121770	TRIT1
NR_132410	chr1	40079290	40121770	TRIT1
NR_132401	chr1	40079290	40121770	TRIT1
NR_132403	chr1	40079290	40121770	TRIT1
NR_132404	chr1	40079290	40121770	TRIT1
NM_022733	chr1	40611964	40661585	SMAP2
NR_132415	chr1	40079290	40121770	TRIT1
NM_001198978	chr1	40612891	40661585	SMAP2
NR_132407	chr1	40079290	40121770	TRIT1
NR_132406	chr1	40079290	40121770	TRIT1
NR_132414	chr1	40079290	40121770	TRIT1
NM_001172221	chr1	41265457	41401276	SCMH1
NM_001031694	chr1	41265457	41399691	SCMH1
NM_012236	chr1	41265457	41480402	SCMH1
NM_172163	chr1	41022270	41078711	KCNQ4
NM_001172220	chr1	41265457	41480402	SCMH1
NM_001172219	chr1	41265457	41480402	SCMH1
NM_004700	chr1	41022270	41078711	KCNQ4
NM_001172218	chr1	41265457	41480402	SCMH1
NR_135092	chr1	41265457	41399691	SCMH1
NM_001172222	chr1	41265457	41399691	SCMH1
NM_001198851	chr1	42414796	42573223	FOXJ3
NM_001198850	chr1	42414796	42574135	FOXJ3
NM_001080850	chr1	42773146	42892922	CCDC30
NR_038261	chr1	42085446	42274183	HIVEP3
NM_001198852	chr1	42414796	42573473	FOXJ3
NM_014947	chr1	42414796	42573490	FOXJ3
NM_130440	chr1	43769133	43861930	PTPRF
NM_015284	chr1	43628142	43692505	SZT2
NM_014663	chr1	43888383	43943776	KDM4A
NM_002840	chr1	43769133	43861930	PTPRF
NR_104171	chr1	43095879	43127050	LOC339539
NM_001301700	chr1	44459328	44593538	ERI3
NM_001301699	chr1	44459328	44593538	ERI3
NM_001301698	chr1	44459328	44593538	ERI3
NM_001301701	chr1	44459328	44593538	ERI3
NM_001145636	chr1	44912980	44963850	C1orf228
NM_024066	chr1	44459328	44593538	ERI3
NM_001319956	chr1	44643418	44889983	RNF220
NM_018150	chr1	44643418	44889983	RNF220
NM_001319957	chr1	44662082	44889983	RNF220
NM_001166588	chr1	45112785	45224981	EIF2B3
NM_001261418	chr1	45088780	45224981	EIF2B3
NM_020365	chr1	45088780	45224981	EIF2B3
NM_021639	chr1	45865562	45924889	GPBP1L1
NM_015506	chr1	45738442	45749326	MMACHC
NM_007170	chr1	45582141	45729427	TESK2
NM_020883	chr1	45254662	45444837	ZSWIM5
NM_001303427	chr1	46278398	46414754	PIK3R3
NM_001099772	chr1	47037256	47057608	CYP4B1
NR_038828	chr1	46912294	46930356	EFCAB14-AS1
NR_038827	chr1	46912294	46930356	EFCAB14-AS1
NM_000779	chr1	47037256	47057608	CYP4B1
NM_006369	chr1	46516658	46541625	LRRC41
NM_014774	chr1	46913417	46957323	EFCAB14
